ID,Source,Title,URL mentioned,description,API Landing,API vocabulary,query builder,Standards supported,Mandatory keywords,Spatial extent,Note,Additional links
12,Leslie,ESA,,"Ecology Society of America. Fish, benthos, Heron Isl coral transition rate",,,,,,,3 records; Not in active use by community but could be; DataONE offering training at ESA summer 2016,
13,Leslie,BCO-DMO (accessed directly),,,,,,,,,266,
15,Leslie,ONEShare,,all accessed through DataONE,,,,,,,,
16,Leslie,Cornell,,all accessed through DataONE,,,,,,,,
17,Leslie,TERN Australia,,all accessed through DataONE,,,,,,,,
18,Leslie,Montana IoE,,all accessed through DataONE,,,,,,,,
19,Leslie,RGD biogeochem,,all accessed through DataONE,,,,,,,,
20,Leslie,PISCO,,all accessed through DataONE,,,,,,,,
21,Leslie,TFRI,,all accessed through DataONE,,,,,,,,
23,Ouida,Dataverse,https://dataverse.harvard.edu/,"A collaboration with the Institute for Quantitative Social Science (IQSS), the Harvard Library, and Harvard University Information Technology (HUIT): the Harvard Dataverse is a repository for sharing, citing, analyzing, and preserving research data; open to all scientific data from all disciplines worldwide.",http://guides.dataverse.org/en/latest/api/search.html,,,,,,"64,144 datasets",
25,Ouida,Coral ontology resources,http://www.ebi.ac.uk/ols/v2/browse.do?ontName=ENVO&termId=ENVO:01000049; http://bioportal.bioontology.org/ontologies/ENVO?p=classes&conceptid=ENVO%3A00000150; http://eresearch.jcu.edu.au/,,,,,,,,,
26,Ouida,NOAA CORIS,,"NOAA CoRIS Coral Reef Information System ; Acronym/Abbreviation List -> http://www.coris.noaa.gov/glossary/#/acronym/A “The CoRIS glossary contains terms concerned with ecology, biogeography, evolution, taxonomy, morphology, physiology, cell and molecular biology, genetics, mapping, development, fisheries, oceanography, geosciences, conservation programs, remote-sensing, physics, chemistry, and data and information management. The glossary is organized alphabetically by page -- A through Z here. The Acronyms/Abbreviations is organized alphabetically here. Literature sources are listed on the References Page. The entire list of glossary and acronyms are also provided as PDF documents. The document includes all terms, photographs, images, and literature sources.” Note: an internal tag of “coral reef studies” is used by NOAA NCEI to help tag datasets that are about coral reefs even if the data do not include coral organism data. It is said to capture about 90% of coral reef data available at NCEI and they may undertake efforts to retroactively tag older datasets as well. The capacity to search NCEI by species names as keywords is said to not be currently available.",,Glossary/Acronym Search Tool -> http://www.coris.noaa.gov/glossary/#/ ; Glossary of Terminology -> http://www.coris.noaa.gov/glossary/welcome.html#/glossary/A ; Acronym/Abbreviation List -> http://www.coris.noaa.gov/glossary/#/acronym/A,,,,,,
27,Ouida,Coral Trait Database,https://coraltraits.org/,"“The Coral Trait Database is a growing compilation of scleractinian coral life history trait, phylogenetic and biogeographic data. As of today, there are 68,248 coral observations with 105,244 trait entries of 147 traits for 1,548 coral species in the database. Most of these entries are for shallow-water, reef-building species",,contains a hierarchy of species and traits (the latter is useful for us),,,"species, traits: biomechanical, conservation, contextual, ecological, phylogenic, morphological, reproductive, stoichiometric",,,
29,Ouida,GBIF Global Biodiversity Information Facility,www.gbif.org/,"The Global Biodiversity Information Facility (GBIF) is an international open data infrastructure, funded by governments.
 
 It allows anyone, anywhere to access data about all types of life on Earth, shared across national boundaries via the Internet.
 
 By encouraging and helping institutions to publish data according to common standards, GBIF enables research not possible before, and informs better decisions to conserve and sustainably use the biological resources of the planet.
 
 GBIF operates through a network of nodes, coordinating the biodiversity information facilities of Participant countries and organizations, collaborating with each other and the Secretariat to share skills, experiences and technical capacity.
 
 GBIF's vision: ""A world in which biodiversity information is freely and universally available for science, society and a sustainable future.""
 
 Some facts about GBIF
 
 It provides a single point of access (through this portal and its web services) to hundreds of millions of records, shared freely by hundreds of institutions worldwide, making it the biggest biodiversity database on the Internet.
 The data accessible through GBIF relate to evidence about more than 1.6 million species, collected over three centuries of natural history exploration and including current observations from citizen scientists, researchers and automated monitoring programmes
 More than 1,400 peer-reviewed research publications have cited GBIF as a source of data, in studies spanning the impacts of climate change, the spread of pests and diseases, priority areas for conservation and food security. About one such paper is published each day.
 Many GBIF Participant countries have set up national portals using tools, codes and data freely available through GBIF to better inform their citizens and policy makers about their own biodiversity.",http://www.gbif.org/developer/registry,"WoRMS (World Register of Marine Species www.marinespecies.org/), ITIS (Integrated Taxonomic Information Service, http://www.itis.gov/), and other partners (http://www.gbif.org/who-we-work-with","Services API for GBIF: http://www.gbif.org/developer/registry
 List all: http://api.gbif.org/v1/dataset
 Search coral: http://api.gbif.org/v1/dataset/search?q=coral
 MD: /dataset/{UUID}/metadata eg: http://api.gbif.org/v1/dataset/2ce84acf-0e82-4da9-9cda-730973a51d7f
 Eml: http://api.gbif.org/v1/dataset/2ce84acf-0e82-4da9-9cda-730973a51d7f/document
 
 OAI endpoint: http://www.gbif.org/developer/registry#oai-pmh
  http://api.gbif.org/v1/oai-pmh/registry",OAI,,,,
30,Ouida,Excel files at https://drive.google.com/drive/u/0/folders/0BzkHaGGPGRFDQ1AxWnpucEZWNnM,,,,,,,,,,
31,Ouida,Florida Keys Bleach Watch,https://docs.google.com/spreadsheets/d/1zr-d2WUhG6xh5i-uCvo8u5hiSw-GmTi4kR9Cz_YEnE0/edit#gid=829813227,"The initial onset of mass coral bleaching can vary among different species, geographic locations, types of reef zones and a fluctuation of severity, which makes it very difficult to predict where or when it will occur. The Florida Keys BleachWatch Program, modeled after Great Barrier Reef’s BleachWatch, is a team of trained recreational, commercial and scientific divers who help monitor and report on conditions at the reefs. After each visit to the reef, the divers complete a data form, either printed or online, and send it to the BleachWatch coordinator. The divers are provided with an underwater wristband to use as a reference and a reminder key below and above the water. Information from NOAA's remote sensing and in-situ monitoring projects are reviewed routinely and summarized along with BleachWatch volunteer observations in the field to provide a comprehensive overview of current conditions throughout the Florida Keys National Marine Sanctuary. Florida Keys Coral Bleaching Current Condtions Reports include a summary of relevant weather information, NOAA Coral Bleaching ""HotSpot"" and ""Degree Heating Weeks"" analysis, and updated in-situ monitoring data, along with BleachWatch observer reports for each region during a given period.",,,,,"reef zone, wind speed, air temperature, SST, cloud cover, bleaching, severity of bleaching, branching/pillar, encrusting mound boulder, flowering",Hawaii,,
32,Ouida,ReefBase Historical Global Coral Bleaching,https://drive.google.com/drive/u/0/folders/0BzkHaGGPGRFDQ1AxWnpucEZWNnM,,,,,,"coral species, bleaching, bleaching severity, coral mortality, coral recovery, water temperature,",world,,
33,Ouida,Hawaii Coral Bleaching Collaborative,https://drive.google.com/drive/u/0/folders/0BzkHaGGPGRFDQ1AxWnpucEZWNnM,Template for data collection,,,,,"bleaching, depth, methods, percent live coral",,,
35,Bernhard,"Tracing river chemistry in space and time: Dissolved inorganic constituents of the Fraser River, Canada",http://dx.doi.org/10.1016/j.gca.2013.09.006,"The Fraser River basin in southwestern Canada bears unique geologic and climatic features which make it an ideal setting for investigating the origins, transformations and delivery to the coast of dissolved riverine loads under relatively pristine conditions. We present results from sampling campaigns over three years which demonstrate the lithologic and hydrologic controls on fluxes and isotope compositions of major dissolved inorganic runoff constituents (dissolved nutrients, major and trace elements, 87Sr/86Sr, δD). A time series record near the Fraser mouth allows us to generate new estimates of discharge-weighted concentrations and fluxes, and an overall chemical weathering rate of 32 t km−2 y−1. The seasonal variations in dissolved inorganic species are driven by changes in hydrology, which vary in timing across the basin. The time series record of dissolved 87Sr/86Sr is of particular interest, as a consistent shift between higher (“more radiogenic”) values during spring and summer and less radiogenic values in fall and winter demonstrates the seasonal variability in source contributions throughout the basin. This seasonal shift is also quite large (0.709–0.714), with a discharge-weighted annual average of 0.7120 (2 s.d. = 0.0003). We present a mixing model which predicts the seasonal evolution of dissolved 87Sr/86Sr based on tributary compositions and water discharge. This model highlights the importance of chemical weathering fluxes from the old sedimentary bedrock of headwater drainage regions, despite their relatively small contribution to the total water flux.",,,,,,,,
36,Bernhard,NWIS,http://nwis.waterdata.usgs.gov/usa/nwis/qwdata/?site_no=07373420,,,,,,,,,
37,Bernhard,ScienceBase,some professional papers,,,,,,,,,
38,Bernhard,LOBO: Land Ocean biogeochemical Observatory,http://162.209.109.171/,"he Mississippi River Observatory is one of 15 observatories on large rivers worldwide that are currently managed by the Global Rivers Observatory. The Observatory on the lower Mississippi River in New Orleans is jointly operated by Tulane University, The Water Institute of the Gulf, and Woods Hole Oceanographic Institution.",,,http://162.209.109.171/loboviz/,,"dissolved oxygen, fluorescence, pH, pressure, salinity, temperature, turbidity, conductivity, oxygen saturation, nitrate,",Mississippi,,
39,Bernhard,"Seasonal hydrology drives rapid shifts in the flux and composition of dissolved and particulate organic carbon and major and trace ions in the Fraser River, Canada","http://www.biogeosciences.net/12/5597/2015/, http://dx.doi:10.5194/bg-12-5597-2015","Rapid changes in the volume and sources of discharge during the spring freshet lead to pronounced variations in biogeochemical properties in snowmelt-dominated river basins. We used daily sampling during the onset of the freshet in the Fraser River (southwestern Canada) in 2013 to identify rapid changes in the flux and composition of dissolved material, with a focus on dissolved organic matter (DOM). Previous time series sampling (at twice monthly frequency) of dissolved inorganic species in the Fraser River has revealed smooth seasonal transitions in concentrations of major ions and tracers of water and dissolved load sources between freshet and base flow periods. In contrast, daily sampling reveals a significant increase in dissolved organic carbon (DOC) concentration (200 to 550 μmol L−1) occurring over a matter of days, accompanied by a shift in DOM optical properties, indicating a transition towards higher molecular weight, more aromatic DOM composition. Comparable changes in DOM composition, but not concentration, occur at other times of year, underscoring the role of seasonal climatology in DOM cycling. A smaller data set of total and dissolved Hg concentrations also showed variability during the spring freshet period, although dissolved Hg dynamics appear to be driven by factors beyond DOM as characterized here. The time series records of DOC and particulate organic carbon (POC) concentrations indicate that the Fraser River exports 0.25–0.35 % of its annual basin net primary productivity. The snowmelt-dominated hydrology, forested land cover, and minimal reservoir impoundment of the Fraser River may influence the DOC yield of the basin, which is high relative to the nearby Columbia River and of similar magnitude to that of the Yukon River to the north. Anticipated warming and decreased snowfall due to climate changes in the region may cause an overall decrease in DOM flux from the Fraser River to the coastal ocean in coming decades",,,,,,,,
40,Bernhard,STORET,https://iaspub.epa.gov/waters10/attains_index.control?p_area=MS,,,,,,,,,
41,Bernhard,"Government of Canada Water Survey, Hydrometric data",https://wateroffice.ec.gc.ca/,"Download a relational database that contains daily mean, monthly mean, annual maximum and minimum daily mean and instantaneous peak water level and discharge data, and sediment data.",,,,"SQLlite, mdb",,,,
42,Bernhard,Arctic Great River Observatory,http://www.arcticgreatrivers.org/data.html,"Massive northern rivers transport huge quantities of water and constituents from the continents to the Arctic Ocean. Changes in arctic river discharge and chemistry provide insights into changes occurring on land and also impact the chemistry, biology, and circulation of the receiving coastal and ocean waters. Our earlier efforts, beginning in the mid-1990's, to synthesize historical information about river discharge and chemical fluxes from northern rivers to the Arctic Ocean were a mixed success. Great progress was made in compiling and analyzing long-term discharge records at the pan-arctic scale. Results were particularly striking for large Russian rivers, where discharge records dating all the way back to the 1930s allowed detection of long-term discharge increases linked to global climate change (on Publications page, see Peterson et al. 2002, McClelland et al. 2004, McClelland et al. 2006). On the other hand, our early efforts to synthesize historical biogeochemical records were hampered by sparse data availability as well as data reliability issues (on Publications page, see Holmes et al. 2000, Holmes et al. 2001, Holmes et al. 2002).",,,,,,,,
43,Bernhard,"USGS Professional Paper 135, The Composition of the River and Lake Waters of the United States. F W Clarke, 1924",https://pubs.usgs.gov/pp/0135/report.pdf,,,,,,,,,
