"Internal ID","Use Case filename#long","#href","Summarized by","Summary Date#date","Title","Domain Keywords#multi","EC Science Themes#multi","Interdisciplinarity (Low, Med, High)","Overall Goal#long","Main CI Challenges#long","Data Discovery Challenges#long","Data Types and Formats#long","Software Used#long","Standards Used","Additional Information#long","Internal notes#long","","","","","","","","","","","","","","","","","","","","","","","","#img","#name"
"27","Climate Feedback of Mesoscale Cloud-Field Organization Using an Event-Based Approach_Kuo_Nair.docx","","KS","8/20/2016","Climate Feedback of Mesoscale Cloud-Field Organization Using an Event-Based Approach","Informatics","Hazards|Predictions","High","The scientific objectives of the use case are: \n- To examine the evolution (i.e. lifecycle) of cloud-field organization of individual mesoscale arcs, trade wind cumuli, and tropical cloud/storm clusters.\n- To quantify and characterize their evolutions,\n- To accumulate long-term (i.e. decadal) statistics of the evolutions,\n- To identify changes in their long-term characteristics, \n- To ascertain the presence/absence of correlation between their changes, and \n- To discover the feedback mechanism(s) of their changes, if there is correlation.\n","Most earth scientists are research oriented and phenomenon focused. For most events, there are few long-term records that exists. An exception is hurricanes or El Nino events.\n- Currently, scientists move data from their local computer or storage resources before they start their analysis. This process is becoming too unsustainable because the data volume is too large. Also, there are often multiple copies on different computers (e.g., redundancy). [reducing the need to download data was highlighted as a major goal]\n- There are lots of different kinds of data being generated. E.g., Radiometers  - different wavelengths; LiDAR radar - sends out signal; Polarimeters; Synthetic aperture radar, etc. How can a scientist deal with so much variety of data?\n- Model simulations are now conducted at higher resolution, which requires more velocity. This has implications on applications. For example, if there is a disaster, data must be analyzed more quickly for decision-making. \n- How can we be sure that we are collecting and analyzing data accurately? Reproducibility is also needed. ","Investigators queries Para-DIAME to find all of the datasets associated with cloud formation and potential drivers (e.g, land use, and atmospheric characteristics), as well as in-situ and remote sensing observation, in the region of interest.","- Data Types Sources: Radiometers  - different wavelengths; LiDAR radar - sends out signal; Polarimeters; Synthetic aperture radar, etc. Long-term data on cloud formation and evolution; processes, e.g. aerosol and land use, that could impact cloud formation and evolution.\n- Data Repositories: Para-DIAME (is a data and compute environment in the cloud)\n- Data Velocity: high resoluton models sometimes need to be analyzed quickly in cases of disasters\n- Data Veracity/Quality: is a challenge\n- Data Variety: is a challenge due to the many data types\n","- Para-DIAME (is a proposed data and compute environment in the cloud). SciDB: A parallel distributed database management system based on array data model.\n- Spark (on top some supported storage backend)\n- Hadoop (MapReduce) on Hadoop File System, HDFS\n","","Not entirely clear to what degree the Para-DAIME vision presented exists vs. is proposed. ","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Climate Feedback of Mesoscale Cloud-Field Organization Using an Event-Based Approach"
"29","Merging and using diverse datasets of seafloor observations_Rubin.docx","","KS","8/22/2016","Merging and using diverse datasets of seafloor observations","Volcanology|Oceanography|Geochemistry","Sources of Variability|Hazards|Predictions","High","To take observations from oceanic submersible vehicles and construct a geospatial time-series evolution of the sea floor. The originator�s goal within this larger multidisciplinary project is to understand how volcanic landforms form over time, and how volcanic ecosystems work. ","- Determining the precise location of submersible at a point in time for images/samples is difficult, error prone, has uncertainties that are not clear, and is often manual. But is critical for relating multidisciplinary datasets, or sharing data with other disciplines, and for building time series. A tool to help assign coordinates to data/video would be helpful (and improve based on expert opinion through time), as would computational experts that can help with sharing workflows and automating some components. \n- changing technology, e.g. needing to digitize VHS tapes. \n- searching 100s of hours of video and thousands of stills that have virtually no annotation. Finding video/images of interest is time consuming and manual. Would benefit from a more standard way to tag pictures and video for later review, as well as best practices to support consistency.  (scientists take notes on observations from video in real time, but it is not clear what format these notes are in) \n- ArcGIS is the primary tool for his work, but uses a proprietary format that is hard to share or merge with colleagues that don't use ESRI. ","- searching 100s of hours of video and thousands of stills that have virtually no annotation. Finding video/images of interest is time consuming and manual. Would benefit from a more standard way to tag pictures and video for later review, as well as best practices to support consistency.  (scientists take notes on obsevations from video in real time, but it is not clear what format these notes are in) ","- Data Type: video and still imagery of the seafloor \n- Data Source: collected from various submseribles, AUVs, ROVs, towed cameras, etc. There are also sensors on the platforms. \n- Data Formats: ArcGIS internal, NetCDF, CSV\n- Data Volume: 100TB per expedition, with 1-4 expeditions per year. 95% is video/imagery","ArcGIS, a bit of QGIS, Fledermaus (Google Earth and ArcScene are alternatives), VLC video imaging and editing, Excel. ","- WOCE quality assessment convention and flags.\n- Observation notes are taken using a standardized language that is codified in the literature. Ditto for classification schemes. \n- GPS navigation and reporting datums","","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Merging and using diverse datasets of seafloor observations"
"30","https://drive.google.com/open?id=0BzqmuwuUSSbtSXhWUWd3Vjljcmc","","LK","8/26/2016","Inland water communities and water chemistry (DDH)","Geochemistry|Hydrology","Sources of variability","High","To understand the capacity of rivers to transfer chemical signals into the ocean. This is about the interaction about inland waterways and oceans, generally, mixing of chemicals, pollutants tranfer, etc.","Data not reliably compiled, except that PANGAEA has taken it on (EMEA).� Plus USGS info is not (easily) accessible to non-USGS affiliates (Scribe: Why not?)","See CI challenges ","UTF-8 Unicode","","UTF-8 Unicode","","NEED TO RECONCILE DUPLICATE VERSIONS, and massage format.This is a DDH use case.",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Inland water communities and water chemistry (DDH)"
"34","https://drive.google.com/open?id=1kbTPco3R9ymTWGd2bx_7y2ZbCgq4NWSUlIH_pYFAQ9g","","LK","9/13/2016","Repeatable and Reproducible Geoscience Research"," Reproducible research","","High","reuse of data models and data preparation workflows, developed across several hydrology laboratories, and which must be reproduced for easy use by other members of the community.","Many hydrologica models have been developed, but the models and workflows using them are not easily reused. Geounit methodology is a solution needs adoption.","If tools don't support the mechanisms for annotation, it's difficult to get buy-in to use the annotation","Data Types and Repositories: \n -ftp://ftp.ncdc.noaa.gov/pub/data/ghcn/daily/ghcnd-stations.txt\n -NCDC Global Historical Climatology Network (GHCND) database\n -Meteorological data from NCDC �GHCND\n -Topography (shape file/DEM) from USGSHyDRO1K   http://www.usgs.gov/  \n\nData Formats: Mostly text, time-series data. Example: netCDF, .csv, ,grib, \n\nData Volume (size): Input Data: 1628.14 MB.  Output Data: 1002.13","Graphviz (.gv)","netCDF\nBagIT","","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Repeatable and Reproducible Geoscience Research"
"35","Field Mapping and Collecting Structural Field Data - Steven Whitmeyer","","KS","8/22/2016","Field Mapping and Collecting Structural Field Data","Tectonophysics|Education|Structural geology","Long-term trends|Sources of variability","High","Develop a 4D framework for holding diverse geospatial data from field areas (stratigraphic, paleontologic, geochronological, etc) and an app for downloading a section of data of interest for maps to take into the field and upload new data. The ultimate goal is to build 4D tectonic models of geologic evolution","- a diversity of data relevant to 4D tectonic models exists, but is not easily integrated with each other spatially (into maps), or connected to models. The goal is maps with a historical (time) context. Collect point, line, and polygon data in the field into a data structure that would have fields for associated information. This information will include lithology, structural orientations, stratigraphic, metamorphic, or igneous features, and fields for notes and locations, data and time stamp (color-coded)\n- the data span multiple scales from thin sections through outcrops to regions. \n- no good app exists for customized downloads and views of data, and then collecting data in the field that integrating it back into the main database. \n- lots of components exist, but have not been put together. \n- some important data in publications/papers.","- having diverse data interoperate through 3D maps layered with Digital Elevation Models. Space is the common element. ","- Data Types/sources:  legacy maps and field outcrop maps, stratigraphic data/columns, paleoenvironmental, paleontologic/fossil, geochronological, Digital Elevation Models/topography, seismic/subsurface, LiDAR and photogrammetry as point clouds, 3D remote sensing, lithological point data, geodynamic models. Historic and contemporary. We also use outcrop, hand sample, and thin section annotated photographs. So field data, model data, lab data. \n- Data Repositories: Paleo DB or ""fossil database""\n- Data Formats: mostly geospatial formats like shapefiles (ArcGIS, QGIS), KML, but a variety of data types mentioned\n- Data Volume: ","- ArcGIS, iGIS in iPad in field, 3D COLLADA models, Google Earth. GigaPans. Structure from Motion (SFM) photogrammetry software for 3D analysis. \n- For field data collection: Field Assets, StratLogger, and various photo sketching apps. I have also used GeoFieldbook, but it needs to be updated for iOS 9.\n- STRABO is a good system in development, but it is not sufficient: not customizable for field data collection. ","OGC standards for 3D modeling","","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Field Mapping and Collecting Structural Field Data"
"39","Strabo Data System - Basil Tikoff","","KS","8/23/2016","Developing the Strabo Data System","Structural geology|Geographic location|Tectonophysics","Sources of variability|Long-term trends","High","Develop a data system for field geological data (thin sections, maps, and empirical data) collected on multiple scales - a lack of data availability is limiting scientific progress.","- it is hard to acquire data needed to support research. This is inefficient. There isn't a culture of data sharing.\n- data are lost or unusable (not fully documented) when a researcher retires or dies. \n- ArcGIS is good but not sufficient for storing and analyzing their spatial data. ","- not described, but it is implicit that they exist and are important. ","- Data Source/Type: Thin sections, maps, and empirical data collected from a wide selection of scales used by field geologists. A geologic map at the kilometer scale, a detailed map at the 10�s of meter scales, individual stations at the meter scale, thin sections at the millimeter scale, and then possibly even an electron miscopy sample at the sub millimeter scale. At any of those scales you could have data points, relationships, or even images linked to them. All of them are spatially referenced and are noted as such in the system\n- Data Repositories: data systems stored at Kansas. \n- Data Format: database will be Neo4j (graph database), inputs are ArcGIS or QGIS. Normal and annotated images as JPGs.\n- Data Volume: ~100MB/project, individuals probably use 10's of MB. Not highlighted as an issue. \n","- currently, ArcGIS, but it is not sufficient. \n- The Strabo system is in development and uses:Neo4j for graph DB, PHP and Python for Strabo itself. ","None listed","","Essentially this is a sales pitch for the system, Strabo, he is developing. He is not expressing is use case so much as he is saying the world will be better if it uses his tool.",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Developing the Strabo Data System"
"41","Environmental Seismology - Leslie Hsu","","KS","8/23/2016","Environmental Seismology","Geomorphology|Earth surface processes","Hazards|Predictions","High","To use broadband seismic networks and other seismic data to learn about environmental processes that create vibrations on the surface of the Earth (not earthquakes). For example, to understand sediment transport in rivers using seismic data. To better integrate seismic and non-seismic data for diverse science (geomorphology, ecology, etc.)","- Seismic data is held in IRIS, but non-seismic data are not and are difficult to discover. Making those data accessible has the usual set of challenges. \n- Need the architecture to be able to search existing infrastructure and existing databases so that the discoverability of the relevant data is improved.","1. Determine the data and data types needed to solve the question: For example: how much sediment is being transported in rivers? Seismic data can be used to address this question since the process of sediment transport creates vibrations on the ground.\n2.You need broadband seismic data, river gauge data, river discharge data, precipitation data\n3. One method is to query and see where these different data overlap: I want to know where there is a seismic station within 2km of a large river: large river defined by X discharge\n4. Search all the different data accessible and try to answer where these data overlap\n5. It�s probably in some raw or not very processed state. The next step would be to set parameters to get derived products that could be compared. \n6. Then look for correlations and analyze them to figure out some result values that can tell you about the question more broadly.\n7. Reiteration of those steps depending on subsequent results; in an ideal workflow it could be re-run multiple times.","- Data Source/Type: 1) Seismic data in IRIS and smaller investigators on short term projects that aren't in IRIS. 2) Non-seismic data: river discharge/gauge that is luckily well-organized, GIS files, imagery from satellites, photos, (landslides) informal documents and emails about events, suspended sediment and bedload sediment measurements (not spatially extensive as seismic network)\n- Data Repositories: IRIS seismology data center\n- Data Format: IRIS format, maybe SEED data, ArcGIS/QGIS files, txt, doc, photos in tif and jpg, csv. \n- Data Volume: Seismic data is GBs, non-seismic is MBs or larger\n- Data Vareity: high due to the different types/sources, and also level of processing (raw, derived, mashup)\n- Data Velocity: is continuous for seismic data. \n- Data Veracity/Quality: the database (assumed to mean IRIS) does quality contro. ","homegrown tools in MATLAB and Python. IRIS provides software. SQL for databases. ArcGIS, Excel are essential tools.","IRIS has some standards, but for the Earth surface process data, there are no larger standards (and this is a challenge).","","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Environmental Seismology"
"43","Investigating volcano tectonic interactions on a global scale - D Sarah Stamps","","KS","8/23/2016","Investigating volcano tectonic interactions on a global scale. ","Tectonophysics|Volcanology|Natural hazards","Hazards","High","To better understand the role active volcanism have on global tectonic movements.","- We need millimeter precision positioning data that spans the active volcano and area around the volcano, ideally in a cross-section. \n- Being be able to compile and assess a wide range of data in one digital location is challenging. \n- Logistical challenges to collecting new data: problem with data producers (where should instruments be placed? How will they be protected?)\n- The issue of discrete data versus continuous data�some sensors record continuous data, but others are inherently discrete. For example InSAR and geochemical observations are discrete.\n- Once all that data gets compiled there would need to be some kind of statistical analysis, and that is another way EC can help. ","Desired workflow: integrated data access. (GeoMap App is an example tool that allows you to pick a region and find data that�s available. However GeoMapApp doesn�t crawl web.)\nOld workflow - without integrated discovery:To go to each database \nExtract position for each individual volcano\nPull information about geochemistry and see where the data is located\nManually process the data \nIt may require 5 years to assess data related to active volcanoes and tectonic deformation at an appropriate scale.","- Data Types: InSAR; Positioning sensors (like GPS); Petrology (geochemistry data); Temperature data; Volatiles from the off-gassing of volcanos; Gauge data; seismic data\n- Data Repositories: (further details on each given in the use case) United States Geological Survey Volcano Hazards Program.The Volcano Disaster Assistance Program (VDAP). Global Volcano Model. WOVOdat. Integrated Earth Data Applications. VHub. International Association of Volcanology and Chemistry of the Earth's Interior (IAVCEI). National Oceanographic and Atmospheric Administration (NOAA) Volcanic Ash Advisory Centers (VAACs) \n- Data Formats: GPS data in NMEA and BIMEX, Dataing data in ASCII, Geochemistry in ASCII and Excel, Temperature and GPS in ASCII, Seismic in SEED. \n- Data Velocity: some is real time (GPS and seismometers) otheres delayed mode. \n- Data Variety:  see data sources. Also field collection vs real time sensor.\n- Data Veracity/Quality: GPS data needs processing, and QC is problematic. She only trusts published data.","GAMIT-GLOBK. GMT, generic mapping tools. GeoMapApp for visualization. Google Earth�there are a number of software that allow you to output into the KMZ or KML formats, which then allow you to visualize. VIZIT visualization software. Adobe Illustrator. The IRIS web site also has some good tools to view certain mechanisms. MATLAB, QCSH, Bok. GOT for statistical analysis. LaTeX for word processing. TEQC physical analysis program.","There are some types of standards, specifically for waveform data, as well as for GPS data, but there aren�t specific standards for this specific use case.","","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Investigating volcano tectonic interactions on a global scale. "
"48","Major dissolved anion and cation concentrations outside tidal zone","","KS","10/17/2016","Major dissolved anion and cation concentrations outside tidal zone (DDH)","Biogeosciences|Geochemistry|Global Change|Hydrology|Oceanography: chemical","Sources of variability|Hazards|Long-term trends","High","Understand state parameters of carbon dioxide uptake by mineral weathering reactions in drainage basins in the North America.","- data repositories can't be searched in all the ways desired\n- some data are in publications/reports/grey literature and not searchable databases\n- some data are ""dark"" (not online)\n- Not having metadata and formally defined semantics for key terms results in less efficient resource discovery.\n- datasets are discrete and sparse\n- relevant data may be taken on very different temporal scales (once per yr sample analysis vs every 15 min from in-situ sensor\n- data not in usable formats need transformations","If a user could sit on her/his computer and link to a search engine, be able to type in the name of a river in North America or select a geographic area and subsequently be able to pull up data on major dissolved anions and cations, and do so in a simple fashion, I would consider that a measure of success. Specific searches desired:\n- Critical issue is dealing with the tidal zone.  The farther the sample location is towards the ocean, but outside the tidal zone, the bigger the drainage area is that the data represent. Must know relation of data location to tidal zone.\n- Query system may correctly interpret concepts such as �major dissolved anions� or �tidal influence�, or �river�, and map them to O&M.\n- GML constructs such as �result�, �feature class�, �sampled feature�.\n- Expands the term �major dissolved anions� to a set of individual anions, concentrations of which are actually contained in the sources.\n- Then we have to define the chemical constituents themselves, major/major which have chemical names�define and utilize them effectively.\n- The same goes for units: the really necessary thing is getting access to the data.\n","- Data Sources: in-situ sensors, field data, sample data, lab analyses\n- Data Types: isotope ratios, elemental concentrations, water discharge, supporting methods information. Tidal zone location. \n- Data Formats: csv, asci, txt\n- Data repositories: Gauging stations (USGS and Environment Canada - Water Survey), Web-accessible geochemical data (USGS, Wateroffice Canada, EPA, CUAHSI-HIS), udigitized libraries/collections.\n- Data Volume: not a challenge.\n- Data Velocity: sensor data can be every 2 min. Integrating data from different velocities is a challenge, but the overall velocity is not.\n- Data Vearacity/Quality: requires sufficient metadata to assess.","- Natural language textual analysis\n- CUAHSI (Consortium of Universities for the Advancement of Hydrologic Science, Inc.)\n- LoadEst and LoadRunner (to estimate daily, monthly or annual fluxes)\n- ArcGIS or similar GIS products.\n","- Open Geospatial Consortium�s (OGC) Observation and Measurement (O&M, also ISO 19156; Cox, 2010); \n- CUAHSI�s data standards; WFS (Open Geospatial Consortium Web Feature Service Interface Standard); \n- OGC Geography Markup Language (GML, also ISO19136; Lake et al., 2004; Portele, 2007) general feature model; \n- SESAR�s IGSN (provided water samples have been registered)","","",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Major dissolved anion and cation concentrations outside tidal zone (DDH)"
"49","BioGeoSIGiPlan - Stephen Goff and Anne Thessen","","KS","9/22/2016","Predicting Best Crop Location","Global change|Public issues","Hazards|Predictions","High","Increase agricultural production by identifying which corn genes and variants are responsible for allowing corn to reach yield under different environmental conditions; allow seed producers to predict which varieties will do well in areas based on climate model predictions. This requires the analysis of genetic data with yeild information and meteorological data, soil data and other environmental data. ","- Data are distributed among multiple sources; some data is proprietary, \n49formats are heterogeneous and need manual effort to integrate\n49 analysis requires demanding computations only possible on the largest systems\n","1) Average corn yields still fall significantly short of maximum yield potential defined by genetics in ideal growing conditions. \n2) Data has to be brought together using brute force and manual methods: \n     a) All of the heterogeneous data sets from the distributed sources have to be re-entered in a new software environment and integrated around space and time. \n     b) Significant time has to be taken for downloading and reformatting�differing time scales.\n3) Weather changes all the time and corn is in the ground for several months: simple averages won�t work. \n4) Most traits of interest that have an impact on yield are complex traits, i.e. traits controlled by many different genes. So computational analysis needed to identify the genes underlying complex traits is very demanding and only feasible on the largest systems currently available unless new analysis routines become available.\n","Data formats: pdf (tables and maps), Excel, FASTA (genetic), GRIB (climate projections), netCDF, CSV, JSON, MS Access. \nData Types & Sources: corn seed genetic variation data (companies and putlic sector), climate projections (IPCC), crops location data with productivity by state and county (USDA), meteorological data (NOAA NWS), soil data (USDA Natural Resources Conservation Science). \nData Volume: ""Big""\n","Current: R, Genome Workbench, BioPython (for genetic data), netCDF library, MatLab \nProspective: GIS","NOAA, USDA, iPlant, and seed companies have standards. The hope is create a new integration and new standard.","","Nice one - potential testbed?",,,,,,,,,,,,,,,,,,,,,,,,"crimson","Predicting Best Crop Location"
"5","Protein_Portal_Full_Mak_Saito","","KS","8/1/2016","Access of Oceanic Protein Datasets","Proteomics|Ocean|Microbial ecosystems|Biogeochemistry","unclear","Low","Create a community data portal that allows research scientists to discover where, when and in which organisms a protein/enzyme of interest occurs in the oceans through a bioinformatics analysis of large mass spectral libraries created from many oceanic samples.","- mass spectrometer data distributed among multiple repositories & different mass spec platforms will pose integration problems with different datatypes.\n- How to ingest up-to-date genomic information, because protein data relies upon genome data for production.\n- volume:  .raw 10gb/day per instrument (~2-4 Tb/year/instrument), 1-2 instruments per contributing laboratory","Assuming proposed system is developed:\n  - User comes with name of a protein or sequence to the portal\n  - User enters parameters (ocean basin, year, etc)\n  - User hits Go (submits form)\n  - System matches name of the protein against a database of proteins \nSystem reports the protein found in the database along with information about the protein like where they were found, the number of spectra counts, geospatial & temporal reference frames (in table or visual [ODV form]), and the exact sequences\n  - System reports displays results in a Map and a List (spreadsheet output) with quality indicators of the data and related metadata.\n  - User evaluates results and can rerun the search with updated parameters\n  - User can download the result set (eg Ocean Data View)\nAlternate flow:\n  - User comes to portal with a geographic search (i.e., wants to see everything present)\n  - If the System found a match, it would show a table (map would be too much data) of identified proteins\n  - Otherwise, the System specifies no data found for that geographic region (region being pre-defined unit)","- Data Formats: .raw proprietary mass spectrometer-specific raw datafile, .mzXML common non-proprietary format for mass spectrometry raw data, .mzML new common non-proprietary format for mass spectrometry raw data, .mgf older format for raw data, .csv, .xml, .msf proprietary output file format, .fasta amino acid sequence database\n- Data Types: mass spectra, identified peptides after mapping to genomic datasets, spectral libraries to reduce search time, gene annotations information, relative and absolute abundance information\n- Volume: 0.6-50GB per file\n- Velocity: 2-4TB/instrument, 1-2 instruments per lab, multiple labs","ODV","none mentioned","Re: EC Science Themes: this may be baseline work needed to bring microbial community into theme research","",,,,,,,,,,,,,,,,,,,,,,,,"aquamarine","Access of Oceanic Protein Datasets"
"7","Permafrost_Model_Validation_Schaefer_Full","","KS","8/16/2016","Permafrost Model Validation","Permafrost|Carbon cycling","Long-term trends|Predictions|Sources of variability","Low","To gather data on permafrost characteristics from many high latitutde locations to validate and improve a carbon cycle model.  ","- researcher must access and combine data from many studies. Desired data are in Arctic Data Explorer, but are discoverable with many different search terms, making searching time consuming and laborious\n- metadata is either insufficient or time consuming to assess whether data meet the researcher's requirements\n- data are in different formats, and need to be converted (to NetCDF)\n","Use case has extensive and detailed description of desired search and access workflow. ","- Data Sources: time series datasets of permafrost temperature.\n- Data Repositories: Arctic Data Explorer (ADE) at National Snow and Ice Data Center (NSIDC)\n- Data Formats: netCDF (desired), Excel (often provided), other heterogeneous formats\n- Data Variability: format variability is a challenge\n- No issues noted for data volume, velocity, veracity. ","BCube broker; - SiBCASA (combined Simple Biosphere/Carnegie-Ames-Stanford Approach) Terrestrial Carbon Cycle Model","Excel","Using EC BCube project's broker","",,,,,,,,,,,,,,,,,,,,,,,,"aquamarine","Permafrost Model Validation"
"8","https://drive.google.com/drive/folders/0B-WQtNtnyJLTNHFSMjl4bExKMzQ","","LK","8/24/2016","Aeolian Processes Field Work_Martin"," ","Sources of Variability","Low","To understand the stress of wind on a barren sandy land surface in a field context (active aeolian processes). In other words, what is the amount of sand moved by the wind and turbulence? ","1) no storage location or scheme for his data, no agreement in the community\n2) data and software in 2 different places (not clear that's a big challenge for him)\n3) lack of measurement accuracy combined with need to invent conversion algorithms could lead to unreliable data","Needs better ways to share data with collaborators\n\nGithub doesn�t allow storage of large data file\nGoogle Drive stores large files but doesn�t enable SVC and development collaboration\nHard to know best way to document data for reuse by other scientists\nNo precedents or human guidance in field of Aeolian process for how to store and manage data\nNo existing systems for storing and managing Aeolian data\nDifferent terminology in Geomorphology vs. Atmospheric\nWants credit for the datasets even though he wants to share them\nTracking use of datasets (DOIs?)\n","- Data Source: �field data, including instruments, sample collections, and qualitative observations\n- Data Format: sensor outputs, such as ASCII comma delimited files; field notebook- scanned as *.pdf; spreadsheets as *.xls; photos as *.jpg\n- Volume (size): 22 GB of raw data\n- Velocity: Batch. Data are collected during 1-day or few day intervals over a period of a few weeks. Data is processed after all data have been collected. \n- Variety: Data from the sensors consist of pulse counts, voltages, serial (RS-232) outputs, and amperages. \n- Variability: temporal scope is the same for all observations (e.g., few days at a time or during one afternoon). Temporal frequency of 50 Hz (anemometers) to weather station every minute; data are collected from sand traps every hour (although interval may change depending on conditions).\n- Veracity/Data Quality (accuracy, precision): They trust the manufacturers of the sensors regarding calibration of instruments. Quality of physical measurements (e.g., sand traps) is based on standards developed by previous studies. \n- Data Types: sensors records, sand sample analyses, photos \nIdentify sensors, portals, and final and intermediate data products that your project generates as outputs.\nIntermediate data output products - *.mat files (MATLAB). ","Proprietary for data logging\nMATLAB for analyses\nExcel for spreadsheets","None","�","",,,,,,,,,,,,,,,,,,,,,,,,"aquamarine","Aeolian Processes Field Work_Martin"
"19","Metadata Database for Physical Samples_Hangsterfer.docx","","KS","8/19/2016","Metadata Database for Physical Samples","Oceanography|Geochemistry","physical samples supports a wide variety of science, including long-term trends","Low","To have a database for curated, oceanographic samples that was both user-friendly and curator-friendly","- she currently has to upload sample metadata into 3 different registries. They do not use the same metadata format, and reformatting is manual and time consuming.\n- four catalogs exist: all have strengths/unique roles, no one is clearly best/sufficient on its own.\n- one of the catalogs is hard to edit - have to reload all data. ","- none of the catalogs provides all the discovery features desired. Some desired elements: ""look at"" a large collection spatially, not too many hits when search on descriptors, see all samples from a cruise","- Data Repositories: NOAA IMGLS, UCSD Libraries Digital Collections; SESAR; the SIO Geological Collection web portal)\n- Data Formats: Flat files. *.xls. Associated files: images *.jpeg, analytical information about the samples. She would like to add *.avi for moving x-ray movies (e.g., CT technology � flying through the sediment core). \n- Data Volume (size): Up to 1GB per cruise with 130 cruises currently online. As more work is done on current samples and if new analytical equipment comes into the lab, this upper limit could increase.\n- Other characteristics not noted as challenges","Excel","The different repositories have different metadata templates","Contributes data to EC iSamples. ","",,,,,,,,,,,,,,,,,,,,,,,,"aquamarine","Metadata Database for Physical Samples"
"20","https://docs.google.com/document/d/1abfNTE0puLUMgk9gFw92uhKZ4JNXLypPwQ4VZlb37Q0/edit","","LK","8/25/2016","Reproducibly Estimating Supraglacial Lake Depth From Satellite Imagery_Pope","Cryosphere","State parameters|Long-term trends","Low","To use Landsat imagery to determine how much water is being stored in lakes on the Greenland ice sheet. ","- It is a challenge to link together project artifacts and keep it all updated and synchronized - individual datasets, code. It is not automated but manual.� new DOIs are constantly created and then manually propagated.\n- Preparing data for sharing.\n","Limited field data available, \nsharing data standards are missing (problem for others who want to use data that exists), scripts may not match data","- geotiff\n- MATLAB .mat \n- .csv\n- NASA and USGS satelite data (Landsat)\n","MATLAB (mostly)\nGDAL","None","","",,,,,,,,,,,,,,,,,,,,,,,,"aquamarine","Reproducibly Estimating Supraglacial Lake Depth From Satellite Imagery_Pope"
"24","https://docs.google.com/document/d/19GSyVc9RuYPzcOEMokBAhhqpyQMr9hmt0Jbj-V32doo/edit","","LK","8/26/2016","GeoLink_Semantics and Linked Data for the Geosciences_ Arko","Marine biochemistry|Ocean sciences","Preconditions?","Low","The GeoLink Building Block �Leveraging Semantics and Linked Data for Data Sharing and Discovery in the Geosciences� seeks to better connect distributed resources already available from existing infrastructure to support more efficient geoscience research. �GeoLink aims to provide improved discovery of and access to data by leveraging Semantic Web technologies and layering those additional technologies on top of existing data infrastructure. \n- understanding distribution of trace elements and isotopes in the global oceans\n\n","- Missing persistent IDs (by cruise, by dataset, and more)\n- Problems with updating�data already in \n","","","Chemical analysis\nExcel\nPhP\nHTML\nOWL","RDF ","Geolink assumes that researchers are using popular web portals. The use case describes 2 workflows - One for the end user and one for the Geolink manager","",,,,,,,,,,,,,,,,,,,,,,,,"aquamarine","GeoLink_Semantics and Linked Data for the Geosciences_ Arko"
"28","https://docs.google.com/document/d/1nlLgNIZ6VpSWNC1LMLVS1MJz9GloKkc3r2TDTLThlFU/edit","","LK","8/26/2016","Top ten storms in the NARCCAP database_McGinnis","Global change","Predictions|Hazards|Sources of variability","Low","Identify intense storms in the NARCCAP dataset occurring near Fort Collins, CO\n\n","If the researcher doesn't have access to the Supercomputer at NCAR, they are unable to process the big datasets, as they don't fit on the researcher's computer.","See CI challenges - need access to and time on supercomputers, plus skills to process large data","net CDF","NCL\nWRF","CF metadata\nspecifications on NARCCARP site","","",,,,,,,,,,,,,,,,,,,,,,,,"aquamarine","Top ten storms in the NARCCAP database_McGinnis"
